Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/25,AQS,370110002,1,0.7,ug/m3 LC,4,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/4/25,AQS,370110002,1,1.2,ug/m3 LC,7,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/7/25,AQS,370110002,1,1.5,ug/m3 LC,8,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/10/25,AQS,370110002,1,4.2,ug/m3 LC,23,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/13/25,AQS,370110002,1,5,ug/m3 LC,28,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/19/25,AQS,370110002,1,8.5,ug/m3 LC,47,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/22/25,AQS,370110002,1,3.2,ug/m3 LC,18,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/25/25,AQS,370110002,1,3.2,ug/m3 LC,18,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/28/25,AQS,370110002,1,2.3,ug/m3 LC,13,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
1/31/25,AQS,370110002,1,7.4,ug/m3 LC,41,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/3/25,AQS,370110002,1,5.5,ug/m3 LC,31,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/6/25,AQS,370110002,1,7.1,ug/m3 LC,39,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/9/25,AQS,370110002,1,3,ug/m3 LC,17,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/12/25,AQS,370110002,1,3.2,ug/m3 LC,18,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/15/25,AQS,370110002,1,4,ug/m3 LC,22,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/18/25,AQS,370110002,1,2.5,ug/m3 LC,14,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/21/25,AQS,370110002,1,1.7,ug/m3 LC,9,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/24/25,AQS,370110002,1,2.5,ug/m3 LC,14,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
2/27/25,AQS,370110002,1,5.4,ug/m3 LC,30,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
3/2/25,AQS,370110002,1,4.1,ug/m3 LC,23,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
3/5/25,AQS,370110002,1,3.6,ug/m3 LC,20,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
3/8/25,AQS,370110002,1,4.6,ug/m3 LC,26,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",,,37,North Carolina,011,Avery,35.972347,-81.933072
